C00003590|12142016|8|3|25
C00003590|12152016|21|419|8863
C00003590|12162016|16|97|1517
C00003590|12212016|11|69|780
C00003590|12312016|18|705|12904
C00014555|12152016|49|14|689
C00014555|12202016|250|1|250
C00014555|12292016|10|1|10
C00014555|12312016|52|13|679
C00034595|12162016|56|593|33159
C00040535|12232016|34|179|6131
C00040923|12152016|43|438|18707
C00040923|12302016|42|439|18597
C00041566|12162016|425|4|1700
C00041566|12192016|375|2|750
C00041566|12202016|333|3|1000
C00041566|12212016|250|1|250
C00041566|12292016|500|1|500
C00045781|12212016|5000|2|10000
C00045781|12232016|5000|1|5000
C00045781|12272016|500|1|500
C00066472|12142016|87|48|4192
C00066472|12162016|61|25|1535
C00066472|12192016|19|85|1607
C00066472|12222016|252|9|2267
C00066472|12232016|258|6|1550
C00066472|12282016|138|2|275
C00066472|12292016|39|58|2262
C00073155|12312016|86|108|9320
C00078287|12152016|66|94|6207
C00090209|12312016|100|1|100
C00091892|12302016|500|1|500
C00102731|12192016|312|4|1250
C00103903|12312016|64|796|50628
C00114702|12312016|107|41|4375
C00139667|12302016|250|1|250
C00144311|12162016|1000|1|1000
C00144311|12282016|150|2|300
C00148999|12222016|-17|1|-17
C00181529|12222016|67|5|336
C00181826|12162016|115|417|47958
C00181826|12302016|38|2|75
C00193433|12142016|72|194|13919
C00193433|12152016|107|155|16602
C00193433|12162016|66|182|11957
C00193433|12172016|54|144|7811
C00193433|12182016|66|145|9504
C00193433|12192016|65|205|13225
C00193433|12202016|80|191|15236
C00193433|12212016|104|215|22291
C00193433|12222016|100|189|18849
C00193433|12232016|53|94|4967
C00193433|12242016|52|117|6049
C00193433|12252016|57|114|6494
C00193433|12262016|51|136|6945
C00193433|12272016|120|247|29584
C00193433|12282016|48|905|43334
C00193433|12292016|272|61|16600
C00193433|12302016|200|104|20790
C00193433|12312016|144|299|43180
C00196444|12152016|57|5|287
C00196444|12202016|52|40|2078
C00196444|12212016|64|3|192
C00196444|12222016|34|12|411
C00196444|12302016|34|12|411
C00213512|12182016|288|4|1150
C00215053|12312016|40|52|2091
C00219881|12182016|500|1|500
C00224691|12152016|400|1|400
C00224691|12232016|2700|1|2700
C00224691|12282016|917|6|5500
C00224691|12292016|1231|13|16000
C00224691|12302016|1109|17|18850
C00224691|12312016|850|5|4250
C00228924|12152016|100|2|200
C00228924|12202016|100|42|4200
C00234120|12312016|66|56|3676
C00250399|12142016|5000|2|10000
C00250399|12152016|2750|6|16500
C00250399|12162016|1167|3|3500
C00250399|12192016|5000|2|10000
C00250399|12202016|3750|2|7500
C00250399|12212016|2050|5|10250
C00250399|12222016|767|3|2300
C00250399|12232016|3000|2|6000
C00250399|12272016|1938|4|7750
C00250399|12292016|2500|1|2500
C00250399|12302016|2562|8|20500
C00251009|12152016|22|4|87
C00251009|12162016|14|160|2320
C00251009|12302016|22|4|87
